city,latitude,longitude
Abaré,-8.72073,-39.1162
Abaíra,-13.2488,-41.6619
Acajutiba,-11.6575,-38.0197
Adustina,-10.5437,-38.1113
Aiquara,-14.1269,-39.8937
Alagoinhas,-12.1335,-38.4208
Alcobaça,-17.5195,-39.2036
Almadina,-14.7089,-39.6415
Amargosa,-13.0215,-39.602
Amélia Rodrigues,-12.3914,-38.7563
América Dourada,-11.4429,-41.43899999999999
Anagé,-14.6151,-41.1356
Andaraí,-12.8049,-41.3297
Andorinha,-10.3482,-39.8391
Angical,-12.0063,-44.7003
Anguera,-12.1462,-39.2462
Antas,-10.3856,-38.3401
Antônio Cardoso,-12.4335,-39.1176
Antônio Gonçalves,-10.5767,-40.2785
Aporá,-11.6577,-38.0814
Apuarema,-13.8542,-39.7501
Aracatu,-14.427999999999999,-41.4648
Araci,-11.3253,-38.9584
Aramari,-12.0884,-38.4969
Arataca,-15.2651,-39.419000000000004
Aratuípe,-13.0716,-39.0038
Araças,-12.22,-38.2027
Aurelino Leal,-14.321,-39.329
Bahia,,
Baianópolis,-12.3016,-44.5388
Baixa Grande,-11.9519,-40.169000000000004
Banzaê,-10.5788,-38.6212
Barra,-11.0859,-43.1459
Barra da Estiva,-13.6237,-41.3347
Barra do Choça,-14.8654,-40.5791
Barra do Mendes,-11.81,-42.059
Barra do Rocha,-14.2,-39.5991
Barreiras,-12.1439,-44.9968
Barro Alto,-11.7605,-41.9054
Barro Preto,-14.7948,-39.476
Barrocas,-11.5272,-39.0776
Belmonte,-15.8608,-38.8758
Belo Campo,-15.0334,-41.2652
Biritinga,-11.6072,-38.8051
Boa Nova,-14.3598,-40.2064
Boa Vista do Tupim,-12.6498,-40.6064
Bom Jesus da Lapa,-13.2506,-43.4108
Bom Jesus da Serra,-14.3663,-40.5126
Boninal,-12.7069,-41.8286
Bonito,-11.9668,-41.2647
Boquira,-12.8205,-42.7324
Botuporã,-13.3772,-42.5163
Brejões,-13.1039,-39.7988
Brotas de Macaúbas,-11.9915,-42.6326
Brumado,-14.2021,-41.6696
Buerarema,-14.9595,-39.3028
Buritirama,-10.7171,-43.6302
Caatiba,-14.9699,-40.4092
Cabaceiras do Paraguaçu,-12.5317,-39.1902
Cachoeira,-12.5994,-38.9587
Caculé,-14.5003,-42.2229
Caetanos,-14.3347,-40.9175
Caetité,-14.0684,-42.4861
Cafarnaum,-11.6914,-41.4688
Cairu,-13.4904,-39.0465
Caldeirão Grande,-11.0208,-40.2956
Camacan,-15.4142,-39.4919
Camamu,-13.9398,-39.1071
Camaçari,-12.6996,-38.3263
Campo Alegre de Lourdes,-9.522210000000001,-43.0126
Campo Formoso,-10.5105,-40.32
Canarana,-11.6858,-41.7677
Canavieiras,-15.6722,-38.9536
Candeal,-11.8049,-39.1203
Candeias,-12.6716,-38.5472
Candiba,-14.4097,-42.8667
Cansanção,-10.6647,-39.4944
Canudos,-9.900139999999999,-39.1471
Capela do Alto Alegre,-11.6658,-39.8349
Capim Grosso,-11.3797,-40.0089
Caravelas,-17.7268,-39.2597
Caraíbas,-14.7177,-41.2603
Cardeal da Silva,-11.9472,-37.9469
Carinhanha,-14.2985,-43.7724
Casa Nova,-9.16408,-40.974
Castro Alves,-12.7579,-39.4248
Catolândia,-12.31,-44.8648
Catu,-12.3513,-38.3791
Caturama,-13.3239,-42.2904
Caém,-11.0677,-40.431999999999995
Central,-11.1376,-42.1116
Chorrochó,-8.9695,-39.0979
Cipó,-11.1032,-38.5179
Coaraci,-14.637,-39.5556
Cocos,-14.1814,-44.5352
Conceição da Feira,-12.5078,-38.9978
Conceição do Almeida,-12.7836,-39.1715
Conceição do Coité,-11.56,-39.2808
Conceição do Jacuípe,-12.3268,-38.7684
Conde,-11.8179,-37.6131
Condeúba,-14.9022,-41.9718
Coração de Maria,-12.2333,-38.7487
Cordeiros,-15.0356,-41.9308
Coribe,-13.8232,-44.4586
Coronel João Sá,-10.2847,-37.9198
Correntina,-13.3477,-44.6333
Cotegipe,-12.0228,-44.2566
Cravolândia,-13.3531,-39.8031
Cristópolis,-12.2249,-44.4214
Crisópolis,-11.5059,-38.1515
Cruz das Almas,-12.6675,-39.1008
Curaçá,-8.984580000000001,-39.8997
Cândido Sales,-15.4993,-41.2414
Cícero Dantas,-10.5897,-38.3794
Dias d'Ávila,-12.6187,-38.2926
Dom Basílio,-13.7565,-41.7677
Dom Macedo Costa,-12.9016,-39.1923
Dário Meira,-14.4229,-39.9031
Elísio Medrado,-12.9417,-39.5191
Encruzilhada,-15.5302,-40.9124
Entre Rios,-11.9392,-38.0871
Esplanada,-11.7942,-37.9432
Euclides da Cunha,-10.5078,-39.0153
Eunápolis,-16.3715,-39.5821
Feira da Mata,-14.2044,-44.2744
Feira de Santana,-12.2664,-38.9663
Filadélfia,-10.7405,-40.1437
Firmino Alves,-14.9823,-39.9269
Floresta Azul,-14.8629,-39.6579
Formosa do Rio Preto,-11.0328,-45.193000000000005
Fátima,-10.616,-38.2239
Gandu,-13.7441,-39.4747
Gentio do Ouro,-11.4342,-42.5077
Glória,-9.34382,-38.2544
Gongogi,-14.3195,-39.469
Governador Mangabeira,-12.5994,-39.0412
Guajeru,-14.5467,-41.9381
Guanambi,-14.2231,-42.7799
Guaratinga,-16.5833,-39.7847
Heliópolis,-10.6825,-38.2907
Iaçu,-12.7666,-40.2056
Ibiassucê,-14.2711,-42.257
Ibicaraí,-14.8579,-39.5914
Ibicoara,-13.4059,-41.284
Ibicuí,-14.845,-39.9879
Ibipeba,-11.6438,-42.0195
Ibipitanga,-12.8804,-42.4856
Ibiquera,-12.6444,-40.9338
Ibirapitanga,-14.1649,-39.3787
Ibirapuã,-17.6832,-40.1129
Ibirataia,-14.0643,-39.6459
Ibitiara,-12.6502,-42.2179
Ibotirama,-12.1779,-43.2167
Ichu,-11.7431,-39.1905
Igaporã,-13.774000000000001,-42.7155
Igrapiúna,-13.8295,-39.1361
Iguaí,-14.7528,-40.0894
Ilhéus,-14.793,-39.046
Inhambupe,-11.780999999999999,-38.355
Ipecaetá,-12.3028,-39.3069
Ipiaú,-14.1226,-39.7353
Ipirá,-12.1561,-39.7359
Irajuba,-13.2563,-40.0848
Iramaia,-13.2902,-40.9595
Iraquara,-12.2429,-41.6155
Irará,-12.0504,-38.7631
Irecê,-11.3033,-41.8535
Itabela,-16.5732,-39.5593
Itaberaba,-12.5242,-40.3059
Itabuna,-14.7876,-39.2781
Itacaré,-14.2784,-38.9959
Itaeté,-12.9831,-40.9677
Itagi,-14.1615,-40.0131
Itagibá,-14.2782,-39.8449
Itagimirim,-16.0819,-39.6133
Itaguaçu da Bahia,-11.0147,-42.3997
Itaju do Colônia,-15.1366,-39.7283
Itajuípe,-14.6788,-39.3698
Itamaraju,-17.0378,-39.5386
Itamari,-13.7782,-39.683
Itambé,-15.2429,-40.63
Itanagra,-12.2614,-38.0436
Itanhém,-17.1642,-40.3321
Itaparica,-12.8932,-38.68
Itapebi,-15.9551,-39.5329
Itapetinga,-15.2475,-40.2482
Itapicuru,-11.3088,-38.2262
Itapitanga,-14.4139,-39.5657
Itapé,-14.8876,-39.4239
Itaquara,-13.4459,-39.9378
Itarantim,-15.6528,-40.065
Itatim,-12.7099,-39.6952
Itiruçu,-13.529000000000002,-40.1472
Itiúba,-10.6948,-39.8446
Itororó,-15.11,-40.0684
Ituaçu,-13.8107,-41.3003
Ituberá,-13.7249,-39.1481
Iuiú,-14.4054,-43.5595
Jaborandi,-13.6071,-44.4255
Jacaraci,-14.8541,-42.4329
Jacobina,-11.1812,-40.5117
Jaguaquara,-13.5248,-39.964
Jaguarari,-10.2569,-40.1999
Jaguaripe,-13.1109,-38.8939
Jandaíra,-11.5616,-37.7853
Jequié,-13.8509,-40.0877
Jeremoabo,-10.0685,-38.3471
Jiquiriçá,-13.2621,-39.5737
Jitaúna,-14.0131,-39.8969
João Dourado,-11.3486,-41.6548
Juazeiro,-9.41622,-40.5033
Jucuruçu,-16.8488,-40.1641
Jussara,-11.0431,-41.9702
Jussari,-15.192,-39.491
Jussiape,-13.5155,-41.5882
Lafaiete Coutinho,-13.6541,-40.2119
Laje,-13.1673,-39.4213
Lajedinho,-12.3529,-40.9048
Lajedo do Tabocal,-13.4663,-40.2204
Lajedão,-17.6056,-40.3383
Lamarão,-11.773,-38.887
Lapão,-11.3851,-41.8286
Lauro de Freitas,-12.8978,-38.321
Lençóis,-12.5616,-41.3928
Licínio de Almeida,-14.6842,-42.5095
Livramento de Nossa Senhora,-13.6369,-41.8432
Luís Eduardo Magalhães,-12.0956,-45.7866
Macajuba,-12.1326,-40.3571
Macarani,-15.5646,-40.4209
Macaúbas,-13.0186,-42.6945
Macururé,-9.16226,-39.0518
Madre de Deus,-12.7446,-38.6153
Maetinga,-14.6623,-41.4915
Maiquinique,-15.624,-40.2587
Mairi,-11.7107,-40.1437
Malhada,-14.3371,-43.7686
Malhada de Pedras,-14.3847,-41.8842
Manoel Vitorino,-14.1476,-40.2399
Mansidão,-10.7227,-44.0428
Maracás,-13.4355,-40.4323
Maragogipe,-12.776,-38.9175
Maraú,-14.1035,-39.0137
Marcionílio Souza,-13.0064,-40.5295
Mascote,-15.5542,-39.3016
Mata de São João,-12.5307,-38.3009
Matina,-13.9109,-42.8439
Medeiros Neto,-17.3707,-40.2238
Miguel Calmon,-11.4299,-40.6031
Milagres,-12.8646,-39.8611
Mirangaba,-10.960999999999999,-40.574
Mirante,-14.2385,-40.7718
Monte Santo,-10.4374,-39.3321
Morpará,-11.5569,-43.2766
Morro do Chapéu,-11.5488,-41.1565
Mortugaba,-15.0225,-42.3727
Mucugê,-13.0053,-41.3703
Mucuri,-18.0754,-39.5565
Mulungu do Morro,-11.9648,-41.6374
Mundo Novo,-11.8541,-40.4714
Muniz Ferreira,-13.0092,-39.1092
Muquém de São Francisco,-12.065,-43.5497
Muritiba,-12.6329,-38.9921
Mutuípe,-13.2284,-39.5044
Nazaré,-13.0235,-39.0108
Nilo Peçanha,-13.604000000000001,-39.1091
Nordestina,-10.8192,-39.4297
Nova Canaã,-14.7912,-40.1458
Nova Fátima,-11.6031,-39.6302
Nova Ibiá,-13.812000000000001,-39.6182
Nova Itarana,-13.0241,-40.0653
Nova Redenção,-12.815,-41.0748
Nova Soure,-11.2329,-38.4871
Nova Viçosa,-17.8926,-39.3743
Novo Horizonte,-12.8083,-42.1682
Novo Triunfo,-10.3182,-38.4014
Olindina,-11.3497,-38.3379
Oliveira dos Brejinhos,-12.3132,-42.8969
Ouriçangas,-12.0175,-38.6166
Ourolândia,-10.9578,-41.0756
Palmas de Monte Alto,-14.2676,-43.1609
Palmeiras,-12.5059,-41.5809
Paramirim,-13.4388,-42.2395
Paratinga,-12.687000000000001,-43.1798
Paripiranga,-10.6859,-37.8626
Pau Brasil,-15.4572,-39.6458
Paulo Afonso,-9.3983,-38.2216
Pedro Alexandre,-10.012,-37.8932
Pedrão,-12.1491,-38.6487
Piatã,-13.1465,-41.7702
Pilão Arcado,-10.0051,-42.4936
Pindaí,-14.4921,-42.68600000000001
Pindobaçu,-10.7433,-40.3675
Pintadas,-11.8117,-39.9009
Piraí do Norte,-13.759,-39.3836
Piripá,-14.9444,-41.7168
Piritiba,-11.73,-40.5587
Planalto,-14.6654,-40.4718
Pojuca,-12.4303,-38.3374
Ponto Novo,-10.8653,-40.1311
Porto Seguro,-16.4435,-39.0643
Potiraguá,-15.5943,-39.8638
Poções,-14.5234,-40.3634
Prado,-17.3364,-39.2227
Presidente Dutra,-11.2923,-41.9843
Presidente Jânio Quadros,-14.6885,-41.6798
Presidente Tancredo Neves,-13.4471,-39.4203
Pé de Serra,-11.8313,-39.611
Queimadas,-10.9736,-39.6293
Quijingue,-10.7505,-39.2137
Quixabeira,-11.4031,-40.12
Rafael Jambeiro,-12.4053,-39.5007
Remanso,-9.619439999999999,-42.0848
Retirolândia,-11.4832,-39.4234
Riacho de Santana,-13.6059,-42.9397
Riachão das Neves,-11.7508,-44.9143
Riachão do Jacuípe,-11.8067,-39.3818
Ribeira do Amparo,-11.0421,-38.4242
Ribeira do Pombal,-10.8373,-38.5382
Ribeirão do Largo,-15.4508,-40.7441
Rio Real,-11.4814,-37.9332
Rio de Contas,-13.5852,-41.8048
Rio do Antônio,-14.4071,-42.0721
Rio do Pires,-13.1185,-42.2902
Rodelas,-8.85021,-38.78
Ruy Barbosa,-12.2816,-40.4931
Salinas da Margarida,-12.873,-38.7562
Salvador,-12.9718,-38.5011
Santa Brígida,-9.73227,-38.1209
Santa Bárbara,-11.9515,-38.9681
Santa Cruz Cabrália,-16.2825,-39.0295
Santa Cruz da Vitória,-14.964,-39.8115
Santa Inês,-13.2793,-39.814
Santa Luzia,-15.4342,-39.3287
Santa Maria da Vitória,-13.3859,-44.2011
Santa Rita de Cássia,-11.0063,-44.5255
Santa Teresinha,-12.7697,-39.5215
Santaluz,-11.2508,-39.375
Santana,-12.9792,-44.0506
Santanópolis,-12.0311,-38.8694
Santo Amaro,-12.5472,-38.7137
Santo Antônio de Jesus,-12.9614,-39.2584
Santo Estêvão,-12.427999999999999,-39.2505
Sapeaçu,-12.7208,-39.1824
Saubara,-12.7387,-38.7625
Saúde,-10.9428,-40.4155
Seabra,-12.4169,-41.7722
Sebastião Laranjeiras,-14.571,-42.9434
Senhor do Bonfim,-10.4594,-40.1865
Sento Sé,-9.74138,-41.8786
Serra Dourada,-12.759,-43.9504
Serra Preta,-12.155999999999999,-39.3305
Serra do Ramalho,-13.5659,-43.5929
Serrinha,-11.6584,-39.01
Serrolândia,-11.4085,-40.2983
Simões Filho,-12.7866,-38.4029
Sobradinho,-9.450239999999999,-40.8145
Souto Soares,-12.088,-41.6427
Sátiro Dias,-11.5929,-38.5938
São Desidério,-12.3572,-44.9769
São Domingos,-11.4649,-39.5268
São Felipe,-12.8394,-39.0893
São Francisco do Conde,-12.6183,-38.6786
São Félix,-12.6104,-38.9727
São Félix do Coribe,-13.4019,-44.1837
São Gabriel,-11.2175,-41.8843
São Gonçalo dos Campos,-12.4331,-38.9663
São José da Vitória,-15.0787,-39.3437
São José do Jacuípe,-11.4137,-39.8669
São Miguel das Matas,-13.0434,-39.4578
São Sebastião do Passé,-12.5123,-38.4905
Sítio do Quinto,-10.3545,-38.2213
Tabocas do Brejo Velho,-12.7026,-44.0075
Tanhaçu,-14.0197,-41.2473
Tanque Novo,-13.5485,-42.4934
Tanquinho,-11.968,-39.1033
Taperoá,-13.5321,-39.1009
Tapiramutá,-11.8475,-40.7927
Teixeira de Freitas,-17.5399,-39.74
Teodoro Sampaio,-12.295,-38.6347
Teofilândia,-11.4827,-38.9913
Teolândia,-13.5896,-39.484
Terra Nova,-12.3888,-38.6238
Tremedal,-14.9736,-41.4142
Tucano,-10.9584,-38.7894
Uauá,-9.83325,-39.4794
Ubaitaba,-14.302999999999999,-39.3222
Ubatã,-14.2063,-39.5207
Ubaíra,-13.2714,-39.666
Uibaí,-11.3394,-42.1354
Umburanas,-10.7339,-41.3234
Una,-15.2791,-39.0765
Urandi,-14.7678,-42.6498
Uruçuca,-14.5963,-39.2851
Utinga,-12.0783,-41.0954
Valente,-11.4062,-39.457
Valença,-13.3669,-39.073
Varzedo,-12.9672,-39.3919
Vera Cruz,-12.9568,-38.6153
Vereda,-17.2183,-40.0974
Vitória da Conquista,-14.8615,-40.8442
Várzea Nova,-11.2557,-40.9432
Várzea da Roça,-11.6005,-40.1328
Wagner,-12.2819,-41.1715
Wanderley,-12.1144,-43.8958
Wenceslau Guimarães,-13.6908,-39.4762
Xique-Xique,-10.823,-42.7245
Água Fria,-11.8618,-38.7639
Érico Cardoso,-13.4215,-42.1352
