city,city_ibge_code,date,is_last,last_available_confirmed,last_available_death_rate,last_available_deaths,new_confirmed,new_deaths,latitude,longitude
Abaré,2900207.0,2020-07-11,True,5,0.0,0,0,0,-8.72073,-39.1162
Abaíra,2900108.0,2020-07-11,True,5,0.0,0,0,0,-13.2488,-41.6619
Acajutiba,2900306.0,2020-07-11,True,40,0.05,2,5,0,-11.6575,-38.0197
Adustina,2900355.0,2020-07-11,True,41,0.0244,1,1,0,-10.5437,-38.1113
Aiquara,2900603.0,2020-07-11,True,34,0.0294,1,4,0,-14.1269,-39.8937
Alagoinhas,2900702.0,2020-07-11,True,812,0.0185,15,41,0,-12.1335,-38.4208
Alcobaça,2900801.0,2020-07-11,True,131,0.0076,1,6,0,-17.5195,-39.2036
Almadina,2900900.0,2020-07-11,True,52,0.0192,1,1,0,-14.7089,-39.6415
Amargosa,2901007.0,2020-07-11,True,80,0.0375,3,4,0,-13.0215,-39.602
Amélia Rodrigues,2901106.0,2020-07-11,True,132,0.0076,1,11,0,-12.3914,-38.7563
América Dourada,2901155.0,2020-07-11,True,71,0.0,0,0,0,-11.4429,-41.43899999999999
Anagé,2901205.0,2020-07-11,True,28,0.0357,1,1,0,-14.6151,-41.1356
Andaraí,2901304.0,2020-07-11,True,6,0.0,0,0,0,-12.8049,-41.3297
Antas,2901601.0,2020-07-11,True,24,0.0,0,3,0,-10.3856,-38.3401
Antônio Cardoso,2901700.0,2020-07-11,True,15,0.0,0,0,0,-12.4335,-39.1176
Aporá,2901908.0,2020-07-11,True,43,0.0465,2,0,0,-11.6577,-38.0814
Apuarema,2901957.0,2020-07-11,True,89,0.0,0,1,0,-13.8542,-39.7501
Aracatu,2902005.0,2020-07-11,True,17,0.0,0,0,0,-14.427999999999999,-41.4648
Araci,2902104.0,2020-07-11,True,384,0.0078,3,14,0,-11.3253,-38.9584
Aramari,2902203.0,2020-07-11,True,15,0.0,0,1,0,-12.0884,-38.4969
Aratuípe,2902302.0,2020-07-11,True,6,0.1667,1,0,0,-13.0716,-39.0038
Araças,2902054.0,2020-07-11,True,14,0.0,0,2,0,-12.22,-38.2027
Aurelino Leal,2902401.0,2020-07-11,True,167,0.006,1,17,0,-14.321,-39.329
Bahia,29.0,2020-07-11,True,104188,0.0234,2436,3002,53,,
Baixa Grande,2902609.0,2020-07-11,True,2,0.0,0,0,0,-11.9519,-40.169000000000004
Barra,2902708.0,2020-07-11,True,36,0.0,0,0,0,-11.0859,-43.1459
Barra da Estiva,2902807.0,2020-07-11,True,4,0.0,0,0,0,-13.6237,-41.3347
Barra do Choça,2902906.0,2020-07-11,True,122,0.0164,2,26,0,-14.8654,-40.5791
Barra do Mendes,2903003.0,2020-07-11,True,3,0.0,0,0,0,-11.81,-42.059
Barra do Rocha,2903102.0,2020-07-11,True,10,0.0,0,1,0,-14.2,-39.5991
Barreiras,2903201.0,2020-07-11,True,604,0.0099,6,47,0,-12.1439,-44.9968
Barro Alto,2903235.0,2020-07-11,True,5,0.0,0,1,0,-11.7605,-41.9054
Barro Preto,2903300.0,2020-07-11,True,73,0.0274,2,1,0,-14.7948,-39.476
Barrocas,2903276.0,2020-07-11,True,42,0.0,0,0,0,-11.5272,-39.0776
Belo Campo,2903508.0,2020-07-11,True,0,0.0,0,0,0,-15.0334,-41.2652
Biritinga,2903607.0,2020-07-11,True,5,0.0,0,1,0,-11.6072,-38.8051
Boa Nova,2903706.0,2020-07-11,True,3,0.0,0,0,0,-14.3598,-40.2064
Boa Vista do Tupim,2903805.0,2020-07-11,True,8,0.0,0,1,0,-12.6498,-40.6064
Bom Jesus da Lapa,2903904.0,2020-07-11,True,77,0.0,0,0,0,-13.2506,-43.4108
Boninal,2904001.0,2020-07-11,True,4,0.0,0,0,0,-12.7069,-41.8286
Bonito,2904050.0,2020-07-11,True,0,0.0,0,0,0,-11.9668,-41.2647
Botuporã,2904209.0,2020-07-11,True,2,0.0,0,0,0,-13.3772,-42.5163
Brejões,2904308.0,2020-07-11,True,11,0.0,0,0,0,-13.1039,-39.7988
Brotas de Macaúbas,2904506.0,2020-07-11,True,0,0.0,0,0,0,-11.9915,-42.6326
Buerarema,2904704.0,2020-07-11,True,149,0.0604,9,2,0,-14.9595,-39.3028
Buritirama,2904753.0,2020-07-11,True,45,0.0,0,1,0,-10.7171,-43.6302
Caatiba,2904803.0,2020-07-11,True,68,0.0,0,1,0,-14.9699,-40.4092
Cabaceiras do Paraguaçu,2904852.0,2020-07-11,True,22,0.0455,1,0,0,-12.5317,-39.1902
Cachoeira,2904902.0,2020-07-11,True,132,0.0076,1,2,0,-12.5994,-38.9587
Caculé,2905008.0,2020-07-11,True,5,0.2,1,0,0,-14.5003,-42.2229
Caetanos,2905156.0,2020-07-11,True,7,0.0,0,1,0,-14.3347,-40.9175
Caetité,2905206.0,2020-07-11,True,47,0.0,0,1,0,-14.0684,-42.4861
Cafarnaum,2905305.0,2020-07-11,True,4,0.0,0,1,0,-11.6914,-41.4688
Cairu,2905404.0,2020-07-11,True,68,0.0294,2,1,0,-13.4904,-39.0465
Caldeirão Grande,2905503.0,2020-07-11,True,55,0.0182,1,1,0,-11.0208,-40.2956
Camacan,2905602.0,2020-07-11,True,445,0.0247,11,14,0,-15.4142,-39.4919
Camamu,2905800.0,2020-07-11,True,343,0.0117,4,20,0,-13.9398,-39.1071
Camaçari,2905701.0,2020-07-11,True,2299,0.0148,34,118,0,-12.6996,-38.3263
Campo Alegre de Lourdes,2905909.0,2020-07-11,True,45,0.0444,2,2,0,-9.522210000000001,-43.0126
Canarana,2906204.0,2020-07-11,True,44,0.0,0,2,0,-11.6858,-41.7677
Canavieiras,2906303.0,2020-07-11,True,55,0.0545,3,2,0,-15.6722,-38.9536
Candeal,2906402.0,2020-07-11,True,21,0.0,0,0,0,-11.8049,-39.1203
Candeias,2906501.0,2020-07-11,True,996,0.0251,25,46,0,-12.6716,-38.5472
Candiba,2906600.0,2020-07-11,True,15,0.0,0,1,0,-14.4097,-42.8667
Cansanção,2906808.0,2020-07-11,True,77,0.026,2,1,0,-10.6647,-39.4944
Capela do Alto Alegre,2906857.0,2020-07-11,True,48,0.0,0,2,0,-11.6658,-39.8349
Capim Grosso,2906873.0,2020-07-11,True,218,0.0183,4,19,0,-11.3797,-40.0089
Caravelas,2906907.0,2020-07-11,True,94,0.0,0,12,0,-17.7268,-39.2597
Caraíbas,2906899.0,2020-07-11,True,7,0.0,0,0,0,-14.7177,-41.2603
Cardeal da Silva,2907004.0,2020-07-11,True,8,0.125,1,0,0,-11.9472,-37.9469
Casa Nova,2907202.0,2020-07-11,True,155,0.0323,5,5,0,-9.16408,-40.974
Castro Alves,2907301.0,2020-07-11,True,103,0.0194,2,2,1,-12.7579,-39.4248
Catolândia,2907400.0,2020-07-11,True,1,0.0,0,0,0,-12.31,-44.8648
Catu,2907509.0,2020-07-11,True,461,0.0065,3,20,0,-12.3513,-38.3791
Caturama,2907558.0,2020-07-11,True,1,0.0,0,0,0,-13.3239,-42.2904
Caém,2905107.0,2020-07-11,True,32,0.0,0,0,0,-11.0677,-40.431999999999995
Central,2907608.0,2020-07-11,True,2,0.0,0,0,0,-11.1376,-42.1116
Chorrochó,2907707.0,2020-07-11,True,5,0.0,0,0,0,-8.9695,-39.0979
Cipó,2907905.0,2020-07-11,True,57,0.0,0,13,0,-11.1032,-38.5179
Coaraci,2908002.0,2020-07-11,True,99,0.0404,4,3,0,-14.637,-39.5556
Cocos,2908101.0,2020-07-11,True,10,0.0,0,0,0,-14.1814,-44.5352
Conceição da Feira,2908200.0,2020-07-11,True,226,0.0088,2,10,0,-12.5078,-38.9978
Conceição do Almeida,2908309.0,2020-07-11,True,64,0.0,0,6,0,-12.7836,-39.1715
Conceição do Coité,2908408.0,2020-07-11,True,382,0.0,0,19,0,-11.56,-39.2808
Conceição do Jacuípe,2908507.0,2020-07-11,True,203,0.0,0,2,0,-12.3268,-38.7684
Conde,2908606.0,2020-07-11,True,62,0.0645,4,1,0,-11.8179,-37.6131
Condeúba,2908705.0,2020-07-11,True,28,0.0,0,0,0,-14.9022,-41.9718
Coração de Maria,2908903.0,2020-07-11,True,79,0.0,0,8,0,-12.2333,-38.7487
Cordeiros,2909000.0,2020-07-11,True,9,0.0,0,6,0,-15.0356,-41.9308
Coronel João Sá,2909208.0,2020-07-11,True,37,0.0,0,5,0,-10.2847,-37.9198
Correntina,2909307.0,2020-07-11,True,17,0.0,0,4,0,-13.3477,-44.6333
Cravolândia,2909505.0,2020-07-11,True,6,0.0,0,1,0,-13.3531,-39.8031
Cristópolis,2909703.0,2020-07-11,True,35,0.0,0,0,0,-12.2249,-44.4214
Crisópolis,2909604.0,2020-07-11,True,31,0.0323,1,5,0,-11.5059,-38.1515
Cruz das Almas,2909802.0,2020-07-11,True,203,0.0148,3,15,0,-12.6675,-39.1008
Curaçá,2909901.0,2020-07-11,True,84,0.0,0,2,0,-8.984580000000001,-39.8997
Cândido Sales,2906709.0,2020-07-11,True,141,0.0284,4,4,1,-15.4993,-41.2414
Dias d'Ávila,2910057.0,2020-07-11,True,575,0.0261,15,18,2,-12.6187,-38.2926
Dom Basílio,2910107.0,2020-07-11,True,7,0.0,0,1,0,-13.7565,-41.7677
Dom Macedo Costa,2910206.0,2020-07-11,True,19,0.0,0,1,0,-12.9016,-39.1923
Dário Meira,2910008.0,2020-07-11,True,100,0.02,2,22,0,-14.4229,-39.9031
Elísio Medrado,2910305.0,2020-07-11,True,7,0.0,0,1,0,-12.9417,-39.5191
Encruzilhada,2910404.0,2020-07-11,True,66,0.0,0,0,0,-15.5302,-40.9124
Entre Rios,2910503.0,2020-07-11,True,107,0.0,0,3,0,-11.9392,-38.0871
Esplanada,2910602.0,2020-07-11,True,72,0.0,0,4,0,-11.7942,-37.9432
Euclides da Cunha,2910701.0,2020-07-11,True,38,0.0263,1,2,0,-10.5078,-39.0153
Eunápolis,2910727.0,2020-07-11,True,955,0.0199,19,36,1,-16.3715,-39.5821
Feira da Mata,2910776.0,2020-07-11,True,1,0.0,0,0,0,-14.2044,-44.2744
Feira de Santana,2910800.0,2020-07-11,True,4917,0.0124,61,91,0,-12.2664,-38.9663
Filadélfia,2910859.0,2020-07-11,True,141,0.0142,2,3,0,-10.7405,-40.1437
Firmino Alves,2910909.0,2020-07-11,True,3,0.0,0,0,0,-14.9823,-39.9269
Formosa do Rio Preto,2911105.0,2020-07-11,True,20,0.0,0,0,0,-11.0328,-45.193000000000005
Fátima,2910750.0,2020-07-11,True,22,0.0,0,1,0,-10.616,-38.2239
Gandu,2911204.0,2020-07-11,True,838,0.0167,14,33,0,-13.7441,-39.4747
Glória,2911402.0,2020-07-11,True,29,0.1034,3,0,0,-9.34382,-38.2544
Gongogi,2911501.0,2020-07-11,True,23,0.087,2,0,0,-14.3195,-39.469
Governador Mangabeira,2911600.0,2020-07-11,True,47,0.0213,1,0,0,-12.5994,-39.0412
Guajeru,2911659.0,2020-07-11,True,3,0.0,0,0,0,-14.5467,-41.9381
Guanambi,2911709.0,2020-07-11,True,112,0.0,0,4,0,-14.2231,-42.7799
Heliópolis,2911857.0,2020-07-11,True,14,0.0,0,0,0,-10.6825,-38.2907
Ibiassucê,2912004.0,2020-07-11,True,1,0.0,0,0,0,-14.2711,-42.257
Ibicaraí,2912103.0,2020-07-11,True,198,0.0152,3,14,0,-14.8579,-39.5914
Ibicoara,2912202.0,2020-07-11,True,1,0.0,0,0,0,-13.4059,-41.284
Ibicuí,2912301.0,2020-07-11,True,67,0.0,0,11,0,-14.845,-39.9879
Ibipeba,2912400.0,2020-07-11,True,7,0.0,0,0,0,-11.6438,-42.0195
Ibipitanga,2912509.0,2020-07-11,True,7,0.0,0,0,0,-12.8804,-42.4856
Ibiquera,2912608.0,2020-07-11,True,0,0.0,0,0,0,-12.6444,-40.9338
Ibirapitanga,2912707.0,2020-07-11,True,143,0.021,3,2,0,-14.1649,-39.3787
Ibirapuã,2912806.0,2020-07-11,True,63,0.0159,1,1,0,-17.6832,-40.1129
Ibirataia,2912905.0,2020-07-11,True,110,0.0182,2,1,0,-14.0643,-39.6459
Ibotirama,2913200.0,2020-07-11,True,85,0.0118,1,1,0,-12.1779,-43.2167
Ichu,2913309.0,2020-07-11,True,2,0.5,1,0,0,-11.7431,-39.1905
Igaporã,2913408.0,2020-07-11,True,4,0.25,1,0,0,-13.774000000000001,-42.7155
Igrapiúna,2913457.0,2020-07-11,True,62,0.0161,1,5,0,-13.8295,-39.1361
Iguaí,2913507.0,2020-07-11,True,270,0.0111,3,6,0,-14.7528,-40.0894
Ilhéus,2913606.0,2020-07-11,True,1810,0.0359,65,52,3,-14.793,-39.046
Inhambupe,2913705.0,2020-07-11,True,35,0.0571,2,1,0,-11.780999999999999,-38.355
Ipecaetá,2913804.0,2020-07-11,True,14,0.0,0,3,0,-12.3028,-39.3069
Ipiaú,2913903.0,2020-07-11,True,872,0.0115,10,10,0,-14.1226,-39.7353
Ipirá,2914000.0,2020-07-11,True,91,0.033,3,3,0,-12.1561,-39.7359
Irajuba,2914208.0,2020-07-11,True,10,0.0,0,3,0,-13.2563,-40.0848
Iramaia,2914307.0,2020-07-11,True,4,0.0,0,1,0,-13.2902,-40.9595
Iraquara,2914406.0,2020-07-11,True,87,0.0,0,1,0,-12.2429,-41.6155
Irará,2914505.0,2020-07-11,True,30,0.0333,1,0,0,-12.0504,-38.7631
Irecê,2914604.0,2020-07-11,True,205,0.0098,2,6,0,-11.3033,-41.8535
Itabela,2914653.0,2020-07-11,True,109,0.0092,1,4,0,-16.5732,-39.5593
Itaberaba,2914703.0,2020-07-11,True,397,0.0277,11,14,0,-12.5242,-40.3059
Itacaré,2914901.0,2020-07-11,True,154,0.026,4,2,1,-14.2784,-38.9959
Itagi,2915106.0,2020-07-11,True,12,0.0,0,0,0,-14.1615,-40.0131
Itagibá,2915205.0,2020-07-11,True,101,0.0297,3,2,0,-14.2782,-39.8449
Itaguaçu da Bahia,2915353.0,2020-07-11,True,7,0.0,0,0,0,-11.0147,-42.3997
Itaju do Colônia,2915403.0,2020-07-11,True,25,0.0,0,1,0,-15.1366,-39.7283
Itajuípe,2915502.0,2020-07-11,True,475,0.0126,6,0,0,-14.6788,-39.3698
Itamaraju,2915601.0,2020-07-11,True,774,0.0168,13,28,0,-17.0378,-39.5386
Itambé,2915809.0,2020-07-11,True,20,0.0,0,0,0,-15.2429,-40.63
Itanagra,2915908.0,2020-07-11,True,10,0.2,2,0,0,-12.2614,-38.0436
Itanhém,2916005.0,2020-07-11,True,142,0.0141,2,1,0,-17.1642,-40.3321
Itaparica,2916104.0,2020-07-11,True,125,0.032,4,1,0,-12.8932,-38.68
Itapebi,2916302.0,2020-07-11,True,85,0.0118,1,0,0,-15.9551,-39.5329
Itapetinga,2916401.0,2020-07-11,True,261,0.0307,8,14,0,-15.2475,-40.2482
Itapicuru,2916500.0,2020-07-11,True,89,0.0112,1,5,0,-11.3088,-38.2262
Itapitanga,2916609.0,2020-07-11,True,17,0.0588,1,0,0,-14.4139,-39.5657
Itapé,2916203.0,2020-07-11,True,74,0.027,2,11,0,-14.8876,-39.4239
Itaquara,2916708.0,2020-07-11,True,10,0.0,0,0,0,-13.4459,-39.9378
Itatim,2916856.0,2020-07-11,True,46,0.0652,3,1,0,-12.7099,-39.6952
Itiruçu,2916906.0,2020-07-11,True,11,0.0,0,0,0,-13.529000000000002,-40.1472
Itiúba,2917003.0,2020-07-11,True,11,0.0909,1,2,0,-10.6948,-39.8446
Itororó,2917102.0,2020-07-11,True,45,0.0222,1,0,0,-15.11,-40.0684
Ituaçu,2917201.0,2020-07-11,True,2,0.5,1,0,0,-13.8107,-41.3003
Ituberá,2917300.0,2020-07-11,True,200,0.025,5,7,0,-13.7249,-39.1481
Iuiú,2917334.0,2020-07-11,True,2,0.0,0,0,0,-14.4054,-43.5595
Jacaraci,2917409.0,2020-07-11,True,1,0.0,0,0,0,-14.8541,-42.4329
Jacobina,2917508.0,2020-07-11,True,194,0.0103,2,2,1,-11.1812,-40.5117
Jaguaquara,2917607.0,2020-07-11,True,493,0.0041,2,29,2,-13.5248,-39.964
Jaguarari,2917706.0,2020-07-11,True,98,0.0,0,7,0,-10.2569,-40.1999
Jaguaripe,2917805.0,2020-07-11,True,58,0.0345,2,2,0,-13.1109,-38.8939
Jandaíra,2917904.0,2020-07-11,True,77,0.013,1,1,0,-11.5616,-37.7853
Jequié,2918001.0,2020-07-11,True,1675,0.0239,40,105,1,-13.8509,-40.0877
Jeremoabo,2918100.0,2020-07-11,True,24,0.0,0,3,0,-10.0685,-38.3471
Jitaúna,2918308.0,2020-07-11,True,44,0.0455,2,1,0,-14.0131,-39.8969
João Dourado,2918357.0,2020-07-11,True,118,0.0169,2,2,0,-11.3486,-41.6548
